,电影名,评分,上映日期,导演,主演,片长,网址
0,肖申克的救赎 The Shawshank Redemption,9.7,1994-09-10(多伦多电影节),弗兰克·德拉邦特,蒂姆·罗宾斯,142分钟,https://movie.douban.com/subject/1292052/
1,霸王别姬,9.6,1993-01-01(中国香港),陈凯歌,张国荣,171 分钟,https://movie.douban.com/subject/1291546/
2,阿甘正传 Forrest Gump,9.5,1994-06-23(洛杉矶首映),罗伯特·泽米吉斯,汤姆·汉克斯,142分钟,https://movie.douban.com/subject/1292720/
3,这个杀手不太冷 Léon,9.4,1994-09-14(法国),吕克·贝松,让·雷诺,110分钟(剧场版),https://movie.douban.com/subject/1295644/
4,美丽人生 La vita è bella,9.5,2020-01-03(中国大陆),罗伯托·贝尼尼,罗伯托·贝尼尼,116分钟,https://movie.douban.com/subject/1292063/
5,泰坦尼克号 Titanic,9.4,1998-04-03(中国大陆),詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,194分钟,https://movie.douban.com/subject/1292722/
6,千与千寻 千と千尋の神隠し,9.3,2019-06-21(中国大陆),宫崎骏,柊瑠美,125分钟,https://movie.douban.com/subject/1291561/
7,辛德勒的名单 Schindler's List,9.5,1993-11-30(华盛顿首映),史蒂文·斯皮尔伯格,连姆·尼森,195分钟,https://movie.douban.com/subject/1295124/
8,盗梦空间 Inception,9.3,2010-09-01(中国大陆),克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,148分钟,https://movie.douban.com/subject/3541415/
9,忠犬八公的故事 Hachi: A Dog's Tale,9.4,2009-06-13(西雅图电影节),拉斯·霍尔斯道姆,理查·基尔,93分钟,https://movie.douban.com/subject/3011091/
10,海上钢琴师 La leggenda del pianista sull'oceano,9.3,2019-11-15(中国大陆),朱塞佩·托纳多雷,蒂姆·罗斯,165分钟,https://movie.douban.com/subject/1292001/
11,机器人总动员 WALL·E,9.3,2008-06-27(美国),安德鲁·斯坦顿,本·贝尔特,98分钟,https://movie.douban.com/subject/2131459/
12,三傻大闹宝莱坞 3 Idiots,9.2,2011-12-08(中国大陆),拉吉库马尔·希拉尼,阿米尔·汗,171分钟(印度),https://movie.douban.com/subject/3793023/
13,楚门的世界 The Truman Show,9.3,1998-06-05(美国),彼得·威尔,金·凯瑞,103分钟,https://movie.douban.com/subject/1292064/
14,放牛班的春天 Les choristes,9.3,2004-10-16(中国大陆),克里斯托夫·巴拉蒂,热拉尔·朱尼奥,97分钟,https://movie.douban.com/subject/1291549/
15,星际穿越 Interstellar,9.3,2014-11-12(中国大陆),克里斯托弗·诺兰,马修·麦康纳,169分钟,https://movie.douban.com/subject/1889243/
